p_val avg_log2FC pct.1 pct.2 p_val_adj gene
1.68890753863009e-104 1.08165639427313 0.792 0.493 4.53336561519089e-100 JCHAIN
2.00499685527596e-80 3.37281997101286 0.173 0.009 5.38181255893172e-76 IGKV2-24
1.42618079441876e-76 1.54613950960777 0.039 0.244 3.82815448837885e-72 IGLV4-69
1.41108171892437e-62 2.53345543838987 0.351 0.125 3.7876255499368e-58 IGHV3-23
6.424535952659e-45 2.07855371718563 0.286 0.113 1.72447394041273e-40 CD9
1.97755274349332e-42 0.25962858477996 0.969 0.947 5.30814707408478e-38 RPS3
1.70933421354848e-39 0.684446839447147 0.883 0.782 4.58819489600683e-35 IGHM
5.07753033707439e-39 0.661196564654084 0.575 0.443 1.36291069307751e-34 GSTP1
7.47840716501436e-39 1.05062618520558 0.305 0.147 2.00735405123315e-34 RRBP1
4.39508634369458e-36 1.67480022231803 0.136 0.03 1.1797290763745e-31 TAS1R3
7.26177804901523e-36 0.544036351566382 0.767 0.642 1.94920646391667e-31 CD79B
1.01536703740039e-35 4.01632001457332 0.278 0.125 2.72544820179013e-31 IGKV3-20
1.34413638498776e-31 1.18959058834464 0.142 0.035 3.60793088458415e-27 MLLT3
3.65555175628048e-31 0.260779445880944 0.96 0.922 9.81223202420807e-27 RPL3
4.72858321406445e-31 0.427381922717352 0.191 0.078 1.26924630631918e-26 IGHG3
2.08453936958318e-29 1.03708963085599 0.205 0.091 5.59532057583517e-25 IFNG-AS1
1.54641415243744e-28 1.69648871873392 0.139 0.046 4.15088486797258e-24 MEF2B
1.58468010842493e-27 0.430257207640679 0.535 0.421 4.2535983470342e-23 PSMB9
3.0814127245413e-27 0.460823606741207 0.691 0.578 8.27112803521375e-23 ISG20
3.44106068479379e-27 0.296711270321762 0.915 0.863 9.2364950901235e-23 RPL17
4.44314114030515e-27 0.55025086493654 0.36 0.212 1.19262794488071e-22 DERL3
1.42575257162871e-26 0.631791228288078 0.467 0.328 3.82700505276579e-22 SELENOM
4.74322979477406e-26 0.735019080764613 0.32 0.201 1.27317774151325e-21 BST2
1.84322431050814e-25 0.255849567935759 0.891 0.815 4.94758269426595e-21 RPL10A
2.3869711015647e-25 0.343822230023302 0.521 0.403 6.40710783081996e-21 CLINT1
2.8336402782736e-25 1.07928540215145 0.236 0.128 7.606057234942e-21 VPREB3
1.07063928087195e-23 0.785686530760058 0.107 0.033 2.87380995771648e-19 PRDM5
1.73282962705005e-23 0.430416043629888 0.75 0.659 4.65126128492774e-19 ITM2B
6.4753736743582e-22 0.991185790104598 0.42 0.307 1.73811980167123e-17 DUSP22
2.26874076092261e-21 0.369091403849497 0.619 0.485 6.08975395046848e-17 PIM1
3.42634937257184e-21 0.582984837735882 0.277 0.154 9.19700698585733e-17 ERAP2
4.03445282915503e-21 0.644705804020175 0.373 0.259 1.08292782840179e-16 MZB1
4.3928068981854e-20 0.367714561011619 0.424 0.32 1.17911722761092e-15 ARL6IP5
7.67401210529511e-20 0.370246876205025 0.838 0.751 2.05985832930331e-15 CYBA
9.07051564746681e-20 0.381315800574852 0.383 0.233 2.43470781009304e-15 RASSF6
1.79471598458779e-19 1.24151843793784 0.259 0.158 4.81737664583055e-15 CD27
1.98011721298119e-19 0.630201363250797 0.221 0.137 5.31503062308412e-15 CDK2AP2
1.66162145811654e-18 0.385240327386407 0.336 0.245 4.46012431787641e-14 KDELR1
2.34335061247909e-18 0.453136773774363 0.466 0.348 6.29002171401638e-14 TRMT112
4.31506794929216e-18 0.844584941523631 0.279 0.172 1.158250538949e-13 DYNLL1
8.66760186617172e-18 0.3867210303797 0.459 0.358 2.32655769291781e-13 BLNK
1.02684088195854e-17 0.25695615016808 0.897 0.828 2.75624629535312e-13 EEF1D
1.40744776281096e-17 0.386342601021543 0.866 0.792 3.77787128493718e-13 CXCR4
1.4571965669106e-17 0.601174338436455 0.314 0.188 3.91140702490142e-13 AC012368.1
2.79556454663385e-17 0.413229992659224 0.659 0.554 7.50385435607459e-13 HSP90B1
3.36682874290676e-17 1.14941778355809 0.101 0.042 9.03724171171031e-13 BAIAP3
6.70303419146092e-17 0.330361112076917 0.553 0.435 1.79922843767194e-12 GPR183
9.59893255485799e-17 0.310076347397579 0.596 0.492 2.57654547637498e-12 SMDT1
1.21412313356604e-16 0.297898497371877 0.683 0.593 3.25894931511796e-12 CD82
2.37459044862314e-16 0.267037311946327 0.601 0.473 6.37387568219423e-12 SYNE2
5.4313757065716e-16 2.19181518336397 0.168 0.095 1.45788986715795e-11 AC004448.2
7.69306634096632e-16 0.366800183328596 0.559 0.45 2.06497286724218e-11 CHCHD10
1.03602827839705e-15 0.64027474267384 0.406 0.279 2.78090710487337e-11 RHEX
1.88949161977002e-15 0.290907944133908 0.702 0.613 5.07177340578668e-11 MIF
1.96977625239349e-15 0.491890081470047 0.444 0.353 5.28727341667462e-11 CUTA
2.59006951769624e-15 0.334852233342807 0.642 0.539 6.95226459940026e-11 GAS5
3.31795505960109e-15 1.69902019232365 0.106 0.041 8.90605497098126e-11 CAMK2N1
4.81964598551615e-15 0.544998030298791 0.574 0.463 1.29368937543225e-10 MARCKS
7.22942916143594e-15 0.460501437126162 0.488 0.389 1.94052337551263e-10 PIM2
8.4382554689897e-15 0.772523471042474 0.2 0.108 2.26499653298621e-10 B4GALT3
9.6023427716166e-15 0.713772312317801 0.384 0.287 2.57746084675733e-10 COPDA1
1.0184310665689e-14 0.598032738859816 0.246 0.149 2.73367266888423e-10 KIAA0040
1.65614549350869e-14 0.46049468302665 0.643 0.54 4.44542573367603e-10 IGKC
1.66348175010427e-14 0.366452808187113 0.263 0.174 4.46511771362988e-10 TECR
2.13843218816926e-14 0.640339581348676 0.425 0.321 5.73997967948392e-10 XBP1
2.6406781649585e-14 0.597750697377024 0.103 0.047 7.08810833038162e-10 PLD5
3.41027992654066e-14 0.878043267728978 0.105 0.055 9.15387337882044e-10 MDS2
5.6021219102632e-14 0.345630077878908 0.287 0.204 1.50372156315285e-09 ANGPTL1
7.55874760743776e-14 0.349464280296478 0.602 0.515 2.02891903278844e-09 CLIC1
7.59151455651795e-14 0.427060642185663 0.367 0.28 2.03771433726055e-09 PSME2
7.77654860536456e-14 0.257823095332997 0.612 0.511 2.08738117665196e-09 ANAPC16
1.07700562847388e-13 0.758250593703696 0.292 0.2 2.8908985079496e-09 IGLC1
1.09694190439471e-13 0.434933288965301 0.43 0.317 2.94441145977627e-09 ATP5IF1
1.19972200844173e-13 0.41116102112385 0.382 0.3 3.22029381505928e-09 ALOX5AP
1.84165723553836e-13 0.611546337372903 0.226 0.14 4.94337635163206e-09 KDELR2
1.84889203708644e-13 0.42323018142955 0.326 0.247 4.96279600594744e-09 BSG
2.81046749149291e-13 0.314414328615171 0.16 0.091 7.54385684066527e-09 AL589693.1
3.0512986391682e-13 1.44347410938146 0.139 0.084 8.1902958072553e-09 IGHV3-74
4.4992707239829e-13 0.5857116055181 0.568 0.505 1.20769424773149e-08 PMAIP1
4.5241904453425e-13 1.17065306565866 0.125 0.059 1.21438319933883e-08 IGLJ1
4.86286831948288e-13 0.292005579109017 0.55 0.461 1.30529111431559e-08 HLA-F
8.30220700971704e-13 0.451933212666398 0.561 0.491 2.22847840554825e-08 EIF3G
8.40470644618257e-13 0.422887197224657 0.219 0.154 2.25599130428432e-08 TMEM109
8.73655568219718e-13 0.273965086694409 0.517 0.425 2.34506627621537e-08 GTF3A
9.23871306226856e-13 0.497293003059424 0.194 0.132 2.47985536017413e-08 ATP6AP1
9.29622754103333e-13 0.426211055796201 0.156 0.083 2.49529339656417e-08 SERPINF1
3.3765015940815e-12 0.817481372535297 0.193 0.117 9.06320557883356e-08 MRPL34
4.50957806219776e-12 0.325717674000461 0.506 0.423 1.21046094345512e-07 POU2AF1
4.79825530637054e-12 0.586355874875038 0.19 0.107 1.28794768933598e-07 LSR
4.8304320506865e-12 0.571992827924424 0.252 0.172 1.29658457104527e-07 FADS3
5.00957193421775e-12 0.319403030631519 0.329 0.226 1.34466929858273e-07 TXNDC5
5.84115315693373e-12 3.53249525100694 0.182 0.11 1.56788233038415e-07 IGKV1-5
6.47939929102704e-12 0.314804792990645 0.454 0.364 1.73920035769748e-07 CYB5R3
6.5216227900337e-12 0.48721218476762 0.331 0.243 1.75053398930084e-07 SYVN1
7.69947052265137e-12 0.370392065691305 0.356 0.271 2.06669187769008e-07 DAD1
9.50034642860584e-12 0.357212503841164 0.381 0.292 2.55008298836638e-07 BCAP31
1.03391649113029e-11 0.677825085550195 0.159 0.092 2.77523864549193e-07 SLC2A11
1.39061566870559e-11 0.340298431814765 0.572 0.468 3.73269057793955e-07 FCMR
1.45879088254292e-11 0.373949523827678 0.467 0.372 3.9156864869217e-07 EID1
1.51930185093887e-11 0.492513115093488 0.187 0.124 4.07811002829012e-07 CTSD
1.8195541467027e-11 0.277636636358064 0.37 0.302 4.88404724057938e-07 FIS1
2.21692188476914e-11 0.302384559871506 0.474 0.378 5.95066172309733e-07 KRTCAP2
2.3893577083609e-11 0.507215591505247 0.584 0.495 6.41351396078232e-07 SSR4
3.68760388067508e-11 0.342917344587112 0.349 0.253 9.89826633650804e-07 GLCCI1
4.20043748949824e-11 0.357907819936758 0.164 0.1 1.12748143093112e-06 HIST1H2AC
5.22388875600987e-11 0.423332417989934 0.261 0.18 1.40219621988817e-06 HCST
7.72871199311957e-11 0.646746085246172 0.186 0.121 2.07454087319316e-06 GSDMD
7.99892819538556e-11 0.298677220949486 0.489 0.419 2.14707230620539e-06 TNFRSF13B
8.47629516128467e-11 0.307131136820519 0.269 0.2 2.27520714719203e-06 PSMC5
8.83854427474411e-11 0.395246858688406 0.286 0.197 2.37244205422681e-06 LMAN1
1.00774480522254e-10 0.264673799935589 0.787 0.695 2.70498860617835e-06 PTPRCAP
1.13272363124331e-10 0.391541790336151 0.293 0.224 3.04045677098329e-06 ATP5PD
1.15009417763316e-10 0.339218712613345 0.279 0.196 3.08708279160294e-06 AL079338.1
1.40511790735308e-10 0.290174884227894 0.377 0.293 3.77161748691714e-06 ALKBH7
1.41365041690485e-10 0.63675964385062 0.19 0.124 3.79452044905599e-06 BTN3A2
1.45712974998647e-10 0.414453194042442 0.169 0.112 3.91122767491368e-06 IER3IP1
1.83662573128989e-10 0.320982189840987 0.301 0.228 4.92987078792833e-06 PRDX1
2.10778138650882e-10 0.338201859322941 0.29 0.21 5.65770679766698e-06 FAM117A
2.36092352781241e-10 0.423248403280929 0.414 0.32 6.33719093335406e-06 PARP1
2.44557504121777e-10 0.371625708819336 0.42 0.334 6.56441252563673e-06 NT5C
3.01123351146278e-10 0.79105505878848 0.204 0.143 8.08275299146839e-06 NXPH4
3.05340539194666e-10 0.332522337794795 0.214 0.132 8.19595075306323e-06 PRDM1
3.31823298284878e-10 0.265396339308412 0.434 0.359 8.90680097256271e-06 ATP5F1A
3.94777230518616e-10 0.337802781014701 0.211 0.156 1.05966104215807e-05 TAP1
4.4289204106576e-10 0.49611867681091 0.133 0.077 1.18881081662871e-05 NMRK1
4.77084952038649e-10 0.335206092335088 0.362 0.292 1.28059142826214e-05 CD40
5.24223966728278e-10 0.501173367236881 0.187 0.117 1.40712197149204e-05 METTL7A
5.36651978662702e-10 0.366750133804983 0.351 0.282 1.44048124112643e-05 GABARAPL2
5.40961346177437e-10 0.271977168838702 0.452 0.372 1.45204844540948e-05 FCGR2B
5.7618234800773e-10 0.968217455865712 0.264 0.22 1.54658865852235e-05 IGHV3-33
5.99191411564828e-10 0.289499600510533 0.391 0.308 1.60834958692231e-05 TRBC2
7.09926469651655e-10 0.262019369681944 0.458 0.366 1.90558462983897e-05 PPM1K
7.29716255090736e-10 0.373331960448957 0.371 0.294 1.95870437191455e-05 NME3
7.3839234087719e-10 0.463471063131327 0.251 0.178 1.98199272138255e-05 CNPY2
9.771616308507e-10 0.309397103545058 0.266 0.201 2.62289724952945e-05 HAX1
1.03435535793725e-09 0.82970942934026 0.131 0.072 2.77641665177515e-05 ARL2
1.26612041967128e-09 0.541362377146596 0.126 0.082 3.39852043048165e-05 ADORA2A
1.40654495814993e-09 0.434766635564044 0.319 0.258 3.77544797666604e-05 TRAPPC5
1.50617517206195e-09 0.306489051332458 0.303 0.237 4.0428753968487e-05 TRAF3IP3
1.50720415923332e-09 0.503372065787403 0.118 0.066 4.04563740421409e-05 FGL2
1.56731317836994e-09 0.561970791579057 0.148 0.101 4.2069820333806e-05 PARP10
1.67377989375907e-09 0.298201564980153 0.344 0.276 4.49275999082809e-05 SLC37A1
1.77041553278698e-09 0.655080621152044 0.164 0.106 4.75214937310681e-05 ATP1B1
1.7995678898975e-09 0.278379108604129 0.239 0.19 4.83040013006286e-05 POLR3GL
2.00033125710781e-09 0.345278577193377 0.415 0.338 5.36928916032879e-05 VPS28
2.12437091849318e-09 0.593170690260346 0.174 0.108 5.7022364194194e-05 MLEC
2.3613609746722e-09 0.385651709112111 0.166 0.114 6.33836512821512e-05 NUDT22
2.51796949237738e-09 0.521283440621556 0.141 0.082 6.75873371143937e-05 SLC44A1
2.6263248771929e-09 0.754230144920999 0.15 0.085 7.04958123536117e-05 CNR1
2.68930602731984e-09 0.387397923836218 0.267 0.199 7.21863523853193e-05 M6PR
2.90896052079882e-09 0.499884814407954 0.311 0.227 7.80823182992819e-05 GRINA
3.10588632548619e-09 0.411539040423223 0.263 0.192 8.33682007487004e-05 RPS10-NUDT3
3.20047812970519e-09 0.4022157418237 0.167 0.109 8.59072339575468e-05 NME4
3.22778286781024e-09 0.427146077506366 0.499 0.429 8.66401477377625e-05 ICAM3
3.44474077265308e-09 0.435856212169223 0.165 0.097 9.2463731819554e-05 PRDX2
3.86377860057385e-09 0.364179807255223 0.25 0.197 0.000103711545196603 HSD17B11
3.90585285425097e-09 0.483988764050984 0.212 0.15 0.000104840902313805 SSR3
4.04916755121072e-09 0.469835687327647 0.204 0.144 0.000108687755409598 GPAA1
4.68305045178825e-09 0.585610505641646 0.214 0.152 0.0001257024402269 WBP1
4.96021624954652e-09 0.382082349860958 0.358 0.291 0.000133142124570328 EML6
5.2800907696589e-09 0.275023868664415 0.147 0.101 0.000141728196439184 TRAM2
5.33195197798145e-09 0.553376536174056 0.128 0.067 0.000143120254992978 H2AFJ
5.84228740386858e-09 0.379990696848738 0.31 0.247 0.00015681867849464 SHFL
5.86971020658717e-09 0.297644395903051 0.715 0.638 0.000157554761365213 HERPUD1
5.99278813683713e-09 0.508802130291391 0.14 0.098 0.000160858419168982 MRPS16
6.95030206129606e-09 0.354244749395595 0.265 0.2 0.000186560007929309 DHRS7
7.01311183427479e-09 0.412955752283456 0.185 0.134 0.000188245947855604 QTRT1
7.97472028924829e-09 0.367778994530463 0.116 0.075 0.000214057442004003 ENOSF1
9.27952953780256e-09 0.289723640311901 0.127 0.078 0.000249081131853696 BATF
9.7727076849666e-09 0.648490962713377 0.141 0.091 0.000262319019679874 NAPRT
1.04931856766851e-08 0.262537184379207 0.539 0.456 0.000281658089933582 POLD4
