Motifs	Average log2FC	Adjusted p-value	Cluster
EN2	0.202086382	1	C3
NKX2-3	0.203554681	0.032428228	C1
USF2	0.206289505	0.000110447	C2
FOSB::JUNB(var.2)	0.206618245	4.70789E-22	Other expanded
NFATC1	0.206772004	6.28909E-34	Not expanded
HOXB7	0.207291298	1	C2
ZBTB7C	0.207396107	1	C5
E2F2	0.207604895	0.001289618	Other expanded
SIX2	0.20835255	0.029145506	C2
OSR1	0.20843792	1	C3
NKX2-8	0.209820227	1	C2
ZBTB33	0.210008961	0.012193827	C2
NR4A1	0.210743175	1	Not expanded
EVX2	0.210805003	7.75209E-05	C1
MAFA	0.211324678	0.183234174	C3
Nr2f6(var.2)	0.213758857	0.565015575	C4
HOXC10	0.214270473	2.8955E-06	Not expanded
XBP1	0.214380933	7.93932E-12	Not expanded
Stat5a	0.214762317	2.59473E-22	C1
HES2	0.217571346	0.152961011	C4
TBX4	0.219403745	3.69746E-16	C3
CEBPG(var.2)	0.219711702	0.002466534	C5
ZBTB6	0.220043877	1	C2
ZFP57	0.220170976	0.509733556	C2
RARA::RXRA	0.22092028	0.013445696	Not expanded
E2F8	0.221054465	9.32803E-05	C1
LHX6	0.221103427	1	Other expanded
Foxl2	0.221229138	5.42555E-07	Not expanded
ZNF528	0.221463899	0.000180313	Not expanded
NFATC4	0.222406329	1.08497E-43	Not expanded
FOS::JUN(var.2)	0.22260964	1	C5
ETV3	0.223717847	0.00016999	Not expanded
TBX2	0.223793481	2.38042E-13	C3
SP4	0.224308847	9.75193E-10	Other expanded
NR1H4::RXRA	0.225249518	0.039081769	Other expanded
ETS1	0.227562533	0.214074144	C2
MNX1	0.228702048	0.003277601	C1
TBR1	0.229115777	0.002586297	C5
VAX1	0.22963365	6.98956E-06	Not expanded
VAX2	0.22963365	6.98956E-06	Not expanded
DRGX	0.22963365	6.98956E-06	Not expanded
GSX2	0.22963365	6.98956E-06	Not expanded
NFATC4	0.230739733	4.15206E-05	C2
TCF7	0.231562984	7.19766E-25	C2
CENPB	0.233749122	0.640830977	C2
Stat6	0.234791301	0.263043431	Other expanded
GLIS3	0.236273826	1	C3
GCM2	0.236409068	0.126875032	C1
SOHLH2	0.236729912	1	C4
MAFA	0.237816822	0.00654997	Other expanded
TBX21	0.239371182	2.23996E-39	Other expanded
ZSCAN29	0.239900255	1	C2
